"Nominal brown shrimp prices by size, 0-15, 15-20, etc.",,,,,,,,,
,,0-15,15-20,20-25,25-30,30-40,40-50,50-67,Pieces
Year,Month,price1,price2,price3,price4,price5,price6,price7,price8
1998,3,8.860647364,7.082967199,6.582725477,5.9023795,5.147735285,3.775117739,3.607072606,2.81396702
1998,4,8.761047089,7.369064056,6.549297207,6.157890857,4.867604468,3.507848367,3.302739898,2.542030922
1998,5,8.321555719,7.05936718,6.338651733,5.69003781,4.494935548,3.564823869,3.0361646,1.310882932
1998,6,8.471792237,7.181777828,6.506394535,5.566847345,4.067361709,2.9640351,2.404791622,1.499912953
1998,7,7.976882834,7.227873215,6.121598335,5.008982362,3.357604441,2.875313359,2.496811274,1.855283806
1998,8,8.204259115,7.240208618,6.14656072,4.989852608,3.51638993,2.897812929,2.48550677,1.922053307
1998,9,8.203221768,6.938869684,5.643947721,4.652265552,3.319422216,2.776158091,2.397564941,1.746437436
1998,10,7.863963406,6.373851381,5.038577627,4.322375105,2.969908719,2.679715283,2.393587178,1.644927935
1998,11,7.587112657,6.067480623,4.858992217,4.221783261,2.948272461,2.684638228,2.353725391,1.506928726
1998,12,7.788221816,6.137980424,4.954842772,4.280962857,2.997810005,2.710882361,2.464872744,1.568454625
1999,1,7.717514602,6.226994471,4.882317632,4.372589229,3.268646505,2.904572472,2.672086405,1.417741141
1999,2,8.388976231,6.478706302,5.196741532,4.44462171,3.330465187,3.055106694,2.637354755,1.634328658
1999,3,8.687903005,6.281460091,5.458157869,4.620411868,3.6628077,3.154586554,2.842677991,2.416555718
1999,4,8.757295149,6.634280349,5.487779015,4.719398323,3.7076669,3.296893834,2.882808048,1.517634968
1999,5,8.682411662,6.69852541,5.553197766,4.574274279,3.641332818,3.189319296,2.52957354,1.285394117
1999,6,8.906729955,6.927324678,5.672759994,4.655029428,3.870247451,3.292861199,2.609061988,1.608870315
1999,7,8.756058893,7.1161471,5.622525788,4.457561546,3.742308018,3.11666065,2.682998826,2.003119737
1999,8,8.67603238,7.050720007,5.479248622,4.417478504,3.73351936,3.178033925,2.734506986,2.095009916
1999,9,8.733734331,6.884145367,5.462082521,4.510581059,3.870108633,3.324693284,2.83337101,2.273107543
1999,10,9.008438161,7.02646183,5.740391048,4.920706192,4.181833365,3.603364511,3.042517494,2.38244428
1999,11,9.471704729,7.248467518,6.045430524,5.212794185,4.498511736,3.973106551,3.461473827,2.79374757
1999,12,9.740172809,7.366917778,6.152041186,5.387491383,4.679429534,4.072942556,3.555514808,3.039558527
2000,1,9.439368681,7.384670286,6.114560777,5.422697779,4.654477904,4.151597732,3.813429274,3.026560122
2000,2,9.81024424,7.256616445,5.968772877,5.480433534,4.874586102,4.162723793,3.607154148,3.29291353
2000,3,9.80003352,7.314027013,6.132334193,5.656144528,5.004260778,4.7040795,3.951563584,3.288524328
2000,4,9.407134826,7.45803439,6.545132669,5.878092598,5.114747459,4.760624107,4.129782845,2.374351734
2000,5,9.740974748,7.490645245,6.484106686,5.588610816,5.02317873,4.207833013,3.261703682,1.763772925
